Jahr,FDP,CVP,SP,SVP,Demokraten,LPS,LdU,EVP,CSP,GLP,BDP,PdA,PSA ,POCH,GPS,FGA ,Sol.,SD,Republikaner,EDU,FPS,Lega,MCR,Uebrige 
1975,22.2078158873663,21.0877465069482,24.8731197676515,9.94376933843496,,2.44672827240038,6.06908201917312,1.96539045082422,0.149261111453447,,,2.37130591645189,0.347227094496713,0.992694122181707,0.0645050157320887,,,2.47470185398468,2.96121341545578,0.347772147991837,,,,1.69766707945315
1979,24.0072365722406,21.2897167160408,24.4377139123005,11.6029735815489,,2.7960900375821,4.07065890419603,2.22259782308736,,,,2.08310672668542,0.444403651394198,1.69799698476603,0.631849998392539,0.176536367363711,,1.32321464699806,0.632088296517003,0.252344397369573,,,,2.33147138351711
1983,23.3326593982412,20.220034081637,22.8403140504504,11.080813963198,,2.82299496057106,3.99479831244599,2.08369474894658,0.398379771826064,,,0.892317760101928,0.508287441243797,2.22947443710468,1.89195054888098,1.02368706473289,,2.93861977480532,0.517809414338716,0.387261237841842,,,,2.83690303363359
1987,22.9325093721338,19.5829466251894,18.4169278967117,11.0239581602997,,2.71558168406797,4.1712601008634,1.92641111262045,0.304407966569299,,,0.802691804177011,0.562379997414503,1.25838578023178,4.87879698335962,2.39888709843239,,2.53841118311521,0.349930683404993,0.921704837288589,2.60396009511676,,,2.61084861900343
1991,20.9907635108801,17.9994921925939,18.4906919915279,11.9009661549195,,3.03668196854996,2.82855994268422,1.89231466831684,0.393255039514009,,,0.776438351287521,0.587336972981663,0.222680244880559,6.07351315449646,1.25263496958948,,3.39010469594147,,0.997766376547671,5.06751233750891,1.38398500005975,,2.71530242772018
1995,20.1810778577529,16.7935650072426,21.7929268482269,14.9004696049973,,2.6862743391701,1.82651074928034,1.78819169591649,0.295235452114296,,,1.19924739936,,,5.04212615192513,1.47356598442499,0.323723750190187,3.12876456384102,,1.30135774195132,3.97000019602597,0.941570636457456,,2.35539202112303
1999,19.9171239241132,15.8537323987798,22.4734632646477,22.5437655579898,,2.26026870509427,0.739361462534402,1.82775571922084,0.422586793587353,,,0.958119370548962,,,4.96639489620315,0.319428093873401,0.472561078995874,1.83834408429275,,1.25005077184279,0.865922551518193,0.877632629897817,,2.41348869685963
2003,17.334741507799,14.3749718484809,23.322698887245,26.6532085797906,,2.19190359403375,,2.27252122294176,0.359659330749619,,,0.698436508934776,,,7.43241509739119,0.527242831793084,0.505241722423165,0.958159079345909,,1.2637152052817,0.190358343067863,0.351277284609787,,1.56344895611185
2007,15.7614350939082,14.4788710236547,19.5461781353324,28.8968414007527,,1.85239391809933,,2.4419999818315,0.43372264425165,1.42715610446466,,0.732210135478866,,,9.58612592567066,0.197471294078536,0.379739156539971,0.534643539106722,,1.28095793882498,0.0994200465884984,0.577793778732299,0.115521393654932,1.65751848902948
2011,15.1045453763757,12.304012142854,18.7221778605077,26.5562298833175,,,,1.9973982107537,0.255774375520426,5.38089074146047,5.41540103713284,0.54099663522063,,,8.43280618250284,,0.338466877862006,0.200310217514108,,1.27142346391132,,0.804760528623803,0.438622078515929,2.23618438792698
2015,16.3967242018618,11.6459372457726,18.8409523592937,29.3859546717925,,,,1.89450073627921,0.209101478521082,4.62586243297081,4.10375053053478,0.40049927755782,,,7.05705988464982,,0.455098082581993,0.122119635692708,,1.18734684312695,,1.00022835236295,0.324568410550396,2.35029585645087
